xxNroISqkt4,110.000,120.000,/m/0mkg
zj2G-KVw4N4,0.000,10.000,/m/0mkg
yOJtRE-617I,140.000,150.000,/m/0192l
yfaxqwNHe7w,20.000,30.000,/m/0192l
yoSL2qcfbcc,43.000,53.000,/m/02bk07
zcdr8KnM_hM,250.000,260.000,/m/02bk07
yrtihXfrYx0,90.000,100.000,/t/dd00005
zCqpwFfsvXQ,40.000,50.000,/t/dd00005
woVby8SBWDI,150.000,160.000,/m/0l14jd
x23YOCp2w0U,30.000,40.000,/m/0l14jd
wZZx0zTb0Xw,260.000,270.000,/m/01wy6
wst-3U_wU3g,110.000,120.000,/m/01wy6
xsbANTuPp4k,0.000,10.000,/m/0239kh
y-G_mOM5LbQ,210.000,220.000,/m/0239kh
yURIdR7A1oM,10.000,20.000,/m/08j51y
zXKT561l8u8,50.000,60.000,/m/08j51y
vx3FnzyOZv8,30.000,40.000,/m/03xq_f
x3nrjdqBbOg,130.000,140.000,/m/03xq_f
yZWx2IW34Wg,0.000,10.000,/m/03w41f
yp4YBTyX7gk,30.000,40.000,/m/03w41f
